Date,B1,B2,B3,B4,B5,S1
2010-03-17,46,1,24,18,9,7
2010-03-20,15,36,28,49,2,3
2010-03-22,44,34,25,47,29,9
2010-03-24,28,9,35,8,42,6
2010-03-27,43,42,9,21,46,6
2010-03-29,2,44,41,34,46,2
2010-03-31,46,28,21,39,49,1
2010-04-03,35,39,20,48,42,2
2010-04-05,17,18,36,21,47,6
2010-04-07,28,11,2,33,43,1
2010-04-10,33,13,49,36,22,4
2010-04-12,4,36,11,31,46,10
2010-04-14,9,12,29,2,21,7
2010-04-17,24,42,16,9,32,3
2010-04-19,44,22,17,38,2,8
2010-04-21,24,26,35,9,1,4
2010-04-24,17,34,27,3,41,4
2010-04-26,29,24,4,46,7,10
2010-04-28,34,49,9,25,38,1
2010-05-01,39,28,3,42,6,5
2010-05-03,8,11,12,26,48,6
2010-05-05,10,30,18,27,4,1
2010-05-08,16,29,31,39,1,2
2010-05-10,41,4,35,33,10,5
2010-05-12,28,22,27,14,23,4
2010-05-15,32,31,44,27,9,8
2010-05-17,9,27,26,29,36,5
2010-05-19,24,12,17,38,30,7
2010-05-22,2,48,40,46,17,10
2010-05-24,8,35,29,12,3,1
2010-05-26,47,3,35,22,6,1
2010-05-29,33,21,49,26,46,1
2010-05-31,46,49,32,5,33,1
2010-06-02,43,11,14,23,17,10
2010-06-05,37,43,31,45,22,5
2010-06-07,29,48,42,28,26,1
2010-06-09,14,48,44,24,20,10
2010-06-12,30,43,48,24,15,7
2010-06-14,15,48,23,49,45,2
2010-06-16,40,48,15,9,3,10
2010-06-19,21,23,19,36,49,4
2010-06-21,45,35,24,37,48,2
2010-06-23,16,27,41,1,35,1
2010-06-26,47,16,11,37,7,10
2010-06-28,41,49,42,19,12,8
2010-06-30,14,44,28,18,17,2
2010-07-03,10,46,2,33,28,8
2010-07-05,39,33,43,22,31,10
2010-07-07,20,47,49,26,31,10
2010-07-10,27,32,12,42,30,7
2010-07-12,47,11,15,24,38,6
2010-07-14,48,30,5,26,11,1
